State,Petroleum,Gas,Coal,Nuclear,Hydro,Renewables
Alabama,163054.219,32369862.93,55659872.11,39716204,11753493.37,3291195.898
Alaska,1191884.181,3571100.816,566821.969,0,1204550.392,7317.187
Arizona,67337.47,34852149.55,39783825.82,30661851,6348462.992,182960.034
Arkansas,87673.592,11368417.1,25075250.31,15169966,4195168.354,1478309.688
California,1638018.869,115749546.2,1948279.086,31734676,27707085.47,25461866.76
Colorado,15552.499,13802364.26,31641090.35,0,2058215.46,3009190.781
Connecticut,288349.387,9678195.011,2453497.463,16657387,623122.58,753801.138
Delaware,268772.776,1686773.221,2910909.302,0,0,138301.819
District of Columbia,35499,0,0,0,0,0
Florida,8962842.889,117733703.5,54052312.12,29336059,244525.518,4247989.241
Georgia,644996.263,20301025.31,69524670.46,31682579,3055512.26,2931302.106
Hawaii,8288819.352,40377.667,1521169.308,0,92854.714,675513.481
Idaho,123.609,1549874.744,72994.125,0,9506509.948,812055.066
Illinois,110881.546,4364444.645,90949010.81,94050482,161279.509,3513953.442
Indiana,154666.221,5390611.154,108590677.1,0,520260.817,1666619.546
Iowa,92859.024,1140567.918,37491842.11,4678931,737337.446,7506648.602
Kansas,124354.395,2611084.106,32242988.29,8768548,12366.252,2385106.5
Kentucky,2028174.895,843725.198,84379767.8,0,3353204.862,380464.045
Louisiana,1815818.907,45313617,23075070.56,16782077,1236351,2493390.121
Maine,480670.204,7481944.601,72386.009,0,4588720.802,3897915.872
Maryland,346731.839,2070846.02,24414551.41,14550119,1948147.629,539982.458
Massachusetts,864488.55,21242541.52,9896296.057,5396021,1276194.152,1263283.924
Michigan,379468.955,8244774.757,67822265.75,21851009,1320648.33,2539343.461
Minnesota,60294.69,2559674.641,30091455.1,12393425,695632.712,6500603.757
Mississippi,17028.388,23380702.72,12970797.36,10998515,0,1397117.988
Missouri,86777.159,3400527.016,71848215.11,10247116,1914727.544,555372.252
Montana,489688.573,81800.44,15164571.05,0,9141898.778,911240.439
Nebraska,24898.845,332466.616,23427525.2,9435142,401434.221,348843.803
Nevada,17727.303,26080001.1,7507243.918,0,2446364.86,1768425.738
New Hampshire,171817.887,5352727.7,2885668.409,8816673,1580927.82,1118088.484
New Jersey,304336.205,21037563.92,5345448.687,34327954,37117.462,936116.757
New Mexico,43480.153,8759510.203,29084698.52,0,300872.879,1561148.377
New York,2717385.953,42954140.66,13152552.41,43484614,28317958.1,4339968.668
North Carolina,287979.16,4926167.053,65853977.66,40847711,4921505.283,2022280.206
North Dakota,48076.19,756.755,29812958.59,0,1475251,2764742.33
Ohio,1311951.97,4747936.054,113824220.5,14937336,498108.58,615177.054
Oklahoma,19608.751,34915887.58,34200891.8,0,3762026.2,2463975.236
Oregon,5656.627,15776934.28,3196901.53,0,32717791.48,4123288.082
Pennsylvania,930953.498,29623748.28,104927414.5,76727686,2820836.024,3064153.739
Rhode Island,16262.021,7553278.044,0,0,6134.866,152776.313
South Carolina,523379.683,9402119.376,35157226.78,52149734,2102246.633,1733560.686
South Dakota,10089.373,122132.732,3190912.908,0,4319205.046,398082.608
Tennessee,178150.758,410410.513,41634518.85,26962001,9482290.03,948177.522
Texas,1347315.241,191652532.3,139106596.9,41497617,1501345.366,20749981.56
Utah,50179.552,6424510.727,35715483.68,0,696991.166,372884.411
Vermont,3577.181,4430.795,0,5360608,1663592.668,384731.927
Virginia,1110820.991,12204842.73,26539392.18,28212252,1414565.2,2465738.035
Washington,47275.035,11409482.41,7477772.768,6634014,73932815.1,4975987.312
West Virginia,170673.695,149347.45,68135763.74,0,1576275.162,742439
Wisconsin,730117.125,5601116.376,38330917.25,12683151,1605406.698,2310962.877
Wyoming,50121.937,803579.066,41756838.99,0,853608.538,2213819.552
